user_id,target_user_id,swipe_time,direction
3746,836,2024-02-01,pass
3846,3564,2024-03-30,like
3743,364,2024-03-17,pass
1763,3775,2024-03-05,pass
1184,4589,2024-02-18,pass
2858,1317,2024-03-18,pass
3897,3681,2024-02-05,pass
2377,627,2024-03-23,pass
2606,3583,2024-03-31,pass
344,543,2024-02-14,pass
635,1177,2024-02-29,like
1238,457,2024-03-24,like
3230,1177,2024-03-25,pass
4260,361,2024-02-24,pass
4378,4782,2024-02-11,pass
2178,3033,2024-02-27,pass
2924,286,2024-02-22,pass
1329,404,2024-03-16,like
2094,2327,2024-02-11,like
1237,4223,2024-03-28,pass
1434,385,2024-02-21,like
4088,2191,2024-03-25,pass
2002,3093,2024-03-07,pass
1857,255,2024-02-04,like
1533,114,2024-03-24,like
2050,1263,2024-03-15,like
4838,4641,2024-03-13,like
1871,1506,2024-02-17,pass
1728,3962,2024-02-02,pass
4964,4161,2024-02-20,pass
2301,1203,2024-03-26,pass
1496,4559,2024-02-11,pass
2876,2463,2024-03-05,pass
89,4408,2024-02-02,like
1929,545,2024-03-23,pass
1039,3178,2024-03-30,like
3237,1587,2024-03-16,pass
1868,3717,2024-03-23,pass
3996,1318,2024-03-28,pass
4714,1669,2024-02-25,pass
1443,56,2024-02-13,like
3906,4945,2024-03-24,pass
3774,967,2024-02-17,like
469,1945,2024-03-03,like
641,2499,2024-03-27,pass
3932,1332,2024-03-18,pass
437,3364,2024-03-25,pass
4301,1400,2024-02-14,pass
956,3548,2024-03-30,pass
4618,2711,2024-02-21,pass
3693,5000,2024-03-04,pass
1686,3903,2024-03-30,pass
285,3821,2024-02-16,pass
4933,1635,2024-03-19,like
2485,2921,2024-02-22,like
1163,3690,2024-02-11,pass
4755,3576,2024-02-29,pass
2963,2973,2024-02-26,like
1438,4396,2024-03-30,like
1572,217,2024-02-21,like
4010,2818,2024-02-19,pass
4873,108,2024-03-19,pass
4743,2409,2024-03-10,pass
390,1167,2024-02-15,like
2246,4839,2024-03-23,pass
557,1448,2024-03-02,like
2001,1199,2024-03-30,like
2505,1228,2024-03-13,pass
3526,4596,2024-03-30,pass
1111,308,2024-03-21,pass
4320,3928,2024-03-20,pass
1277,1670,2024-03-02,pass
3267,1200,2024-03-21,like
1401,3770,2024-02-27,pass
4226,2149,2024-02-07,like
2036,1667,2024-02-09,pass
1457,2400,2024-02-14,pass
4635,2194,2024-03-01,pass
1353,3256,2024-02-01,like
932,1884,2024-02-17,pass
1885,145,2024-02-01,pass
2948,3872,2024-03-14,pass
4181,76,2024-02-18,like
4303,2773,2024-02-24,pass
412,386,2024-03-16,pass
3994,2215,2024-02-18,pass
121,447,2024-02-20,pass
1481,4497,2024-03-29,like
9,1124,2024-02-28,like
4408,2082,2024-03-21,pass
3276,3902,2024-03-09,pass
4925,2464,2024-02-13,pass
500,598,2024-03-09,pass
2698,4909,2024-03-11,like
4241,378,2024-03-21,pass
4497,883,2024-02-01,like
2975,1880,2024-02-12,pass
686,2817,2024-03-04,pass
755,3561,2024-03-15,pass
4579,3394,2024-03-17,pass
2148,2200,2024-03-08,like
2653,2792,2024-02-12,pass
4882,2,2024-02-21,pass
2315,1725,2024-02-02,pass
4602,1947,2024-02-06,like
4057,3415,2024-03-19,like
2298,958,2024-02-02,pass
4535,4891,2024-03-30,pass
3680,3276,2024-02-23,pass
387,3080,2024-03-06,pass
1486,3860,2024-03-18,pass
2544,1716,2024-03-21,pass
4712,1530,2024-03-14,like
4752,1297,2024-03-09,like
137,3693,2024-03-29,like
2628,2337,2024-02-17,like
4269,4407,2024-02-05,like
2050,2251,2024-02-10,pass
857,2377,2024-02-11,pass
4594,2146,2024-03-25,pass
1144,364,2024-03-11,pass
2838,1515,2024-03-02,like
149,320,2024-02-03,pass
4951,3160,2024-02-23,like
2267,4453,2024-03-02,like
2564,3441,2024-03-30,like
570,168,2024-03-20,pass
