user_id,age,country,signup_date
1,24,IN,2024-02-24
2,37,IN,2024-03-01
3,32,CA,2024-03-29
4,28,US,2024-01-08
5,25,UK,2024-01-16
6,38,UK,2024-06-24
7,24,IN,2024-04-25
8,43,UK,2024-03-01
9,36,CA,2024-01-15
10,40,US,2024-05-29
11,28,CA,2024-05-10
12,28,AU,2024-04-11
13,41,IN,2024-02-23
14,38,UK,2024-01-14
15,21,AU,2024-02-05
16,25,UK,2024-04-14
17,41,US,2024-03-22
18,20,US,2024-03-07
19,39,US,2024-01-10
20,38,UK,2024-02-18
21,19,AU,2024-04-20
22,41,US,2024-03-05
23,29,AU,2024-02-26
24,23,UK,2024-01-27
25,19,AU,2024-04-22
26,38,UK,2024-05-12
27,18,UK,2024-03-11
28,29,IN,2024-03-23
29,43,UK,2024-02-26
30,39,UK,2024-04-29
31,29,CA,2024-04-02
32,42,US,2024-01-15
33,34,IN,2024-04-20
34,44,IN,2024-04-10
35,44,IN,2024-04-28
36,27,CA,2024-03-16
37,33,UK,2024-06-06
38,32,US,2024-01-20
39,32,AU,2024-06-13
40,36,UK,2024-05-10
41,29,CA,2024-03-13
42,40,UK,2024-05-01
43,37,UK,2024-02-10
44,42,CA,2024-06-15
45,20,IN,2024-06-02
46,22,IN,2024-05-09
47,36,US,2024-01-23
48,24,US,2024-01-23
49,38,IN,2024-05-23
50,26,AU,2024-01-09
51,24,UK,2024-01-13
52,35,AU,2024-06-04
53,21,UK,2024-06-03
54,42,IN,2024-02-20
55,31,US,2024-03-04
56,35,US,2024-02-21
57,43,AU,2024-02-07
58,26,US,2024-04-09
59,43,IN,2024-05-25
60,38,AU,2024-02-20
61,19,UK,2024-05-16
62,37,US,2024-05-20
63,32,CA,2024-06-16
64,24,US,2024-02-24
65,29,UK,2024-04-18
66,25,AU,2024-06-19
67,32,UK,2024-02-13
68,20,CA,2024-04-19
69,31,IN,2024-06-09
70,34,US,2024-05-31
71,21,AU,2024-06-12
72,35,IN,2024-05-07
73,25,UK,2024-04-14
74,21,AU,2024-01-10
75,19,IN,2024-04-09
76,23,AU,2024-05-27
77,39,CA,2024-04-18
78,27,CA,2024-04-17
79,21,US,2024-05-19
80,39,US,2024-05-25
81,35,CA,2024-04-03
82,43,AU,2024-03-03
83,29,CA,2024-03-24
84,19,US,2024-01-25
85,27,CA,2024-01-12
86,21,CA,2024-05-28
87,31,AU,2024-01-25
88,33,IN,2024-01-11
89,32,US,2024-03-04
90,25,AU,2024-05-05
91,31,CA,2024-02-19
92,40,CA,2024-03-29
93,42,IN,2024-04-08
94,25,US,2024-04-25
95,38,US,2024-04-05
96,33,UK,2024-06-25
97,30,US,2024-01-14
98,35,IN,2024-01-01
99,32,UK,2024-01-25
100,38,UK,2024-03-12
101,41,CA,2024-03-09
102,43,CA,2024-05-12
103,42,US,2024-04-14
104,30,UK,2024-05-26
105,26,CA,2024-01-23
106,32,IN,2024-01-09
107,30,CA,2024-04-27
108,18,CA,2024-04-03
109,42,UK,2024-06-26
110,24,UK,2024-05-23
111,26,AU,2024-02-02
112,41,IN,2024-05-09
113,18,UK,2024-01-14
114,29,US,2024-01-01
115,25,IN,2024-03-30
116,41,IN,2024-03-29
117,28,UK,2024-05-23
118,36,IN,2024-03-30
